000775;$0000
001285;$0300
715952;$0600
001759;$0900
716338;$0c00
001807;$0f00
716317;$1200
001391;$1500
001679;$1800
716308;$1b00
000780;$1e00
001567;$2100
000437;$2400
000781;$2700
000776;$2a00
002857;$2d00
716336;$3000
716835;$3300
716431;$3600
716061;$3900
001414;$3c00
716003;$3f00
716472;$4200
716452;$4500
001729;$4800
002720;$4b00
716372;$4e00
001284;$5100
715939;$5400
000840;$5440
000566;$5740
000788;$5a40
716453;$5d40
716483;$6040
001944;$6340
715673;$6640
001672;$6940
000784;$6c40
001762;$6f40
716320;$7240
716283;$7540
715918;$7840
001507;$7880
716444;$7b80
001600;$7bc0
001798;$7ec0
002079;$81c0
002083;$84c0
691528;$87c0
001506;$8ac0
001270;$8dc0
716686;$8e00
716854;$9100
715836;$9140
716844;$9440
001274;$9740
715856;$9a40
715855;$9d40
716845;$9d80
002725;$a080
716800;$a0c0
002718;$a100
715544;$a140
715843;$a180
002913;$a1c0
000835;$a200
716268;$a240
001459;$a280
000750;$a2c0
716689;$a300
001801;$a340
716828;$a380
001936;$a3c0
001791;$a400
001336;$a440
715835;$a480
001461;$a4c0
002894;$a500
716899;$a540
716849;$a580
703873;$a5c0
703872;$a600
703922;$a640
693144;$a680
