700493;$0000
637909;$0300
696761;$0600
697175;$0900
695456;$0c00
699389;$0c40
699629;$0f40
696667;$1240
699432;$1540
697406;$1840
697399;$1b40
696289;$1e40
598979;$2140
697360;$2440
696898;$2740
696283;$2a40
697349;$2d40
697355;$3040
697957;$3340
696322;$3640
697434;$3940
696764;$3c40
694610;$3f40
697881;$4260
699381;$4560
697152;$4860
697431;$4b60
697153;$4e60
696314;$5160
697180;$5460
699788;$5760
697433;$5a60
695546;$5d60
699630;$6060
697160;$6360
697952;$6660
697303;$6960
697380;$6c60
697400;$6f60
697405;$7260
697340;$7560
696364;$7860
